iter	RMSE
617	4083.373445
618	4082.417443
619	4079.118087
620	4076.152103
621	4072.012361
622	4069.340146
623	4067.213249
624	4063.531024
625	4059.418599
626	4052.015918
627	4045.921631
628	4040.048251
629	4036.870209
630	4032.017583
631	4031.7775
632	4031.608624
633	4029.648889
634	4026.028341
635	4023.722855
636	4018.413739
637	4017.050233
638	4013.055474
639	4007.812239
640	4000.184674
641	3996.045404
642	3991.512936
643	3991.40475
644	3988.399113
645	3985.557429
646	3979.893684
647	3976.443177
648	3972.477452
649	3968.094121
650	3963.494999
651	3957.474125
652	3953.570771
653	3947.574911
654	3941.48432
655	3939.720379
656	3934.05142
657	3931.165952
658	3924.147792
659	3921.025616
660	3915.583889
661	3912.04613
662	3908.026263
663	3902.876033
664	3897.614837
665	3897.474306
666	3893.971459
667	3890.472083
668	3884.871478
669	3880.372019
670	3873.449178
671	3869.790931
672	3866.273849
673	3862.207089
674	3857.437015
675	3851.661463
676	3847.733052
677	3841.391333
678	3837.988507
679	3834.002869
680	3830.599152
681	3826.281084
682	3822.578227
683	3815.901424
684	3812.955668
685	3807.324625
686	3801.770631
687	3800.023665
688	3798.806452
689	3794.347556
690	3789.901871
691	3786.683932
692	3780.583971
693	3777.906814
694	3775.228576
695	3770.856235
696	3763.536739
697	3761.241539
698	3760.50678
699	3755.639773
700	3752.743591
701	3749.240071
702	3743.034436
703	3736.248523
704	3729.953866
705	3725.886742
706	3723.175475
707	3719.603616
708	3716.764668
709	3716.590609
710	3711.09232
711	3708.277565
712	3705.386368
713	3701.049955
714	3698.275592
715	3695.093154
716	3692.388215
717	3689.250849
718	3684.904958
719	3680.927372
720	3675.978441
721	3673.856871
722	3671.552707
723	3667.307226
724	3666.248934
725	3660.423026
726	3655.921203
727	3653.143367
728	3650.351217
729	3647.823674
730	3643.04393
731	3639.35443
732	3637.137581
733	3635.018381
734	3629.340475
735	3624.13706
736	3621.859511
737	3621.726913
738	3619.50375
739	3615.78067
740	3613.587981
741	3611.283824
742	3609.991545
743	3606.57864
744	3606.392097
745	3603.542371
746	3602.40087
747	3598.509373
748	3598.359681
749	3597.923852
750	3595.403128
751	3591.437238
752	3588.289082
753	3587.678487
754	3587.163153
755	3579.915807
756	3576.668879
757	3573.465844
758	3571.43352
759	3567.482597
760	3563.320444
761	3559.698952
762	3556.778765
763	3552.630463
764	3549.253189
765	3544.681266
766	3542.061583
767	3536.559789
768	3532.98806
769	3529.406594
770	3526.596732
771	3519.741626
772	3517.707069
773	3515.107674
774	3509.042647
775	3507.789509
776	3504.397959
777	3501.378616
778	3497.072243
779	3494.955361
780	3492.564219
781	3488.740505
782	3484.049377
783	3478.734987
784	3474.739805
785	3469.392977
786	3467.748546
787	3464.713104
788	3462.385876
789	3460.373513
790	3456.158712
791	3451.390603
792	3447.623795
793	3443.96004
794	3442.094529
795	3441.752582
796	3436.588768
797	3434.19975
798	3431.776604
799	3429.021157
800	3425.516445
801	3423.32362
802	3416.366666
803	3413.304349
804	3409.566953
805	3406.951569
806	3399.867167
807	3394.912257
808	3393.637041
809	3391.253997
810	3388.379784
811	3383.614674
812	3380.081631
813	3374.922801
814	3370.308479
815	3366.640787
816	3362.935064
817	3358.603542
818	3355.14452
819	3352.616313
820	3348.491376
821	3346.407856
822	3342.201744
823	3338.441921
824	3336.095158
825	3333.657131
826	3330.576403
827	3328.046698
828	3325.954387
829	3323.083867
830	3317.516197
831	3316.328302
832	3312.901074
833	3310.848019
834	3308.877645
835	3304.793668
836	3301.043999
837	3299.129929
838	3294.770928
839	3294.011384
840	3291.377995
841	3287.968885
842	3285.075307
843	3283.668422
844	3280.287054
845	3276.039968
846	3271.707404
847	3271.024377
848	3267.584182
849	3264.670583
850	3261.296773
851	3259.583616
852	3256.685556
853	3253.575209
854	3250.724677
855	3248.45244
856	3246.792499
857	3244.644446
858	3241.490309
859	3237.267592
860	3232.929566
861	3229.410475
862	3225.4823
863	3221.108228
864	3219.037846
865	3213.099883
866	3210.304895
867	3208.618173
868	3200.615361
869	3199.203245
870	3197.33317
871	3195.139791
872	3191.788948
873	3189.79744
874	3188.042537
875	3187.615857
876	3187.176731
877	3181.924279
878	3181.341633
879	3179.465383
880	3177.164192
881	3177.051143
882	3173.336575
883	3172.70261
884	3170.695558
885	3170.136602
886	3166.493323
887	3161.948171
888	3155.458805
889	3149.82582
890	3146.342228
891	3143.066389
892	3141.714267
893	3141.607776
894	3135.624487
895	3133.447948
896	3128.02647
897	3127.194613
898	3120.976903
899	3119.541437
900	3117.149268
901	3114.281706
902	3111.784429
903	3109.53727
904	3107.305408
905	3106.357923
906	3100.742179
907	3098.605314
908	3093.911781
909	3089.496482
910	3086.665959
911	3083.668101
912	3080.617933
913	3079.8662
914	3073.180392
915	3070.880885
916	3067.77314
917	3064.787561
918	3062.070834
919	3060.171247
920	3056.309793
921	3053.01018
922	3048.903961
923	3045.211915
924	3042.661669
925	3039.075532
926	3033.823997
927	3033.264203
928	3031.207475
929	3028.840582
930	3025.334299
931	3022.532971
932	3020.219896
933	3018.197625
934	3015.121407
935	3012.579198
936	3008.58785
937	3005.960729
938	3002.496613
939	3000.956887
940	2997.457752
941	2994.218647
942	2993.59589
943	2988.539241
944	2987.058095
945	2984.588883
946	2983.195223
947	2981.764692
948	2979.259628
949	2977.274967
950	2974.562331
951	2973.31046
952	2969.960757
953	2969.004556
954	2966.730096
955	2964.773048
956	2960.813218
957	2957.454621
958	2953.980736
959	2951.089832
960	2949.169704
961	2945.737386
962	2942.485331
963	2941.393631
964	2938.445008
965	2935.920652
966	2934.388731
967	2932.701882
968	2929.891174
969	2928.684433
970	2925.894271
971	2924.646431
972	2922.696844
973	2920.800892
974	2916.662669
975	2912.99976
976	2908.659263
977	2904.028623
978	2902.82884
979	2899.982104
980	2897.346472
981	2895.284551
982	2894.534088
983	2891.954284
984	2888.261987
985	2886.292266
986	2883.958036
987	2881.38245
988	2879.863773
989	2876.395654
990	2872.934367
991	2870.939704
992	2867.059704
993	2864.892444
994	2862.872627
995	2860.536699
996	2856.122384
997	2852.548473
998	2850.286472
999	2849.125416
