iter	Passed	Remaining
455	946	1128
456	947	1126
457	949	1123
458	950	1120
459	952	1118
460	954	1115
461	955	1112
462	957	1110
463	958	1107
464	960	1104
465	962	1103
466	964	1101
467	966	1099
468	968	1096
469	970	1093
470	971	1091
471	973	1088
472	974	1086
473	976	1083
474	978	1081
475	979	1078
476	981	1076
477	983	1073
478	985	1071
479	986	1068
480	988	1066
481	990	1064
482	992	1062
483	994	1059
484	996	1057
485	997	1055
486	999	1052
487	1000	1049
488	1002	1047
489	1003	1044
490	1005	1042
491	1006	1039
492	1008	1037
493	1010	1035
494	1012	1032
495	1014	1030
496	1015	1027
497	1017	1025
498	1019	1023
499	1020	1020
500	1022	1018
501	1024	1016
502	1027	1014
503	1028	1012
504	1030	1010
505	1032	1007
506	1033	1005
507	1035	1002
508	1036	1000
509	1038	997
510	1040	995
511	1042	993
512	1044	991
513	1045	988
514	1047	986
515	1049	983
516	1050	981
517	1052	979
518	1054	976
519	1055	974
520	1057	972
521	1059	970
522	1061	967
523	1062	965
524	1064	962
525	1065	960
526	1067	958
527	1069	955
528	1070	953
529	1072	950
530	1073	948
531	1075	946
532	1077	943
533	1078	941
534	1080	938
535	1081	936
536	1083	933
537	1084	931
538	1086	929
539	1088	927
540	1090	924
541	1091	922
542	1093	919
543	1094	917
544	1096	915
545	1097	912
546	1099	910
547	1100	907
548	1102	905
549	1104	903
550	1105	901
551	1107	898
552	1109	896
553	1110	894
554	1112	892
555	1114	889
556	1116	887
557	1117	885
558	1119	883
559	1121	880
560	1122	878
561	1124	876
562	1126	874
563	1127	871
564	1129	869
565	1131	867
566	1133	865
567	1134	863
568	1136	860
569	1138	858
570	1139	856
571	1141	854
572	1143	851
573	1144	849
574	1146	847
575	1148	845
576	1150	843
577	1152	841
578	1154	839
579	1160	840
580	1161	837
581	1163	835
582	1165	833
583	1167	831
584	1169	829
585	1171	827
586	1172	825
587	1174	823
588	1176	820
589	1178	818
590	1180	817
591	1182	814
592	1184	812
593	1186	810
594	1188	808
595	1190	806
596	1191	804
597	1193	802
598	1195	800
599	1197	798
600	1199	796
601	1201	794
602	1202	791
603	1205	790
604	1207	788
605	1209	786
606	1212	785
607	1214	783
608	1217	781
609	1219	779
610	1222	778
611	1224	776
612	1227	774
613	1230	773
614	1233	772
615	1235	770
616	1237	768
617	1239	766
618	1241	764
619	1243	762
620	1245	760
621	1247	758
622	1249	756
623	1251	754
624	1253	752
625	1255	750
626	1257	748
627	1260	746
628	1261	744
629	1263	742
630	1265	740
631	1267	737
632	1269	735
633	1271	733
634	1273	731
635	1275	729
636	1277	728
637	1279	726
638	1281	724
639	1283	722
640	1285	719
641	1287	717
642	1289	715
643	1291	713
644	1293	711
645	1295	709
646	1296	707
647	1299	705
648	1301	703
649	1303	701
650	1305	699
651	1307	697
652	1309	695
653	1310	693
654	1313	691
655	1315	689
656	1317	687
657	1319	685
658	1321	684
659	1324	682
660	1326	680
661	1328	678
662	1329	675
663	1332	674
664	1334	672
665	1335	670
666	1337	667
667	1339	665
668	1341	663
669	1343	661
670	1345	659
671	1347	657
672	1349	655
673	1351	653
674	1353	651
675	1355	649
676	1357	647
677	1359	645
678	1361	643
679	1362	641
680	1364	639
681	1365	636
682	1367	634
683	1369	632
684	1371	630
685	1374	628
686	1376	626
687	1378	624
688	1380	623
689	1382	620
690	1384	618
691	1386	617
692	1388	615
693	1390	612
694	1392	610
695	1394	608
696	1396	606
697	1397	604
698	1400	603
699	1402	601
700	1404	599
701	1406	597
702	1408	594
703	1410	592
704	1412	590
705	1413	588
706	1416	586
707	1418	584
708	1420	582
709	1421	580
710	1423	578
711	1425	576
712	1427	574
713	1429	572
714	1431	570
715	1432	568
716	1434	566
717	1436	564
718	1438	562
719	1439	559
720	1442	558
721	1443	555
722	1445	553
723	1447	551
724	1449	549
725	1451	547
726	1452	545
727	1454	543
728	1456	541
729	1458	539
730	1459	537
731	1461	535
732	1463	533
733	1465	531
734	1466	528
735	1468	526
736	1470	524
737	1472	522
738	1474	520
739	1475	518
740	1477	516
741	1479	514
742	1480	512
743	1482	510
744	1484	508
745	1486	506
746	1488	504
747	1490	502
748	1492	499
749	1493	497
750	1496	496
751	1498	494
752	1499	492
753	1502	490
754	1503	488
755	1505	485
756	1507	483
757	1509	481
758	1510	479
759	1512	477
760	1514	475
761	1516	473
762	1518	471
763	1520	469
764	1522	467
765	1524	465
766	1526	463
767	1528	461
768	1530	459
769	1532	457
770	1534	455
771	1536	453
772	1538	451
773	1539	449
774	1541	447
775	1543	445
776	1545	443
777	1546	441
778	1548	439
779	1550	437
780	1552	435
781	1553	433
782	1555	431
783	1557	429
784	1559	426
785	1560	424
786	1562	422
787	1564	420
788	1566	419
789	1568	417
790	1570	415
791	1573	413
792	1575	411
793	1577	409
794	1578	407
795	1580	405
796	1582	403
797	1584	401
798	1586	399
799	1588	397
800	1590	395
801	1592	393
802	1594	391
803	1596	389
804	1598	387
805	1600	385
806	1602	383
807	1604	381
808	1606	379
809	1608	377
810	1610	375
811	1612	373
812	1614	371
813	1616	369
814	1618	367
815	1620	365
816	1622	363
817	1624	361
818	1626	359
819	1628	357
820	1629	355
821	1631	353
822	1633	351
823	1635	349
824	1637	347
825	1639	345
826	1641	343
827	1643	341
828	1645	339
829	1646	337
830	1648	335
831	1650	333
832	1652	331
833	1654	329
834	1655	327
835	1657	325
836	1659	323
837	1661	321
838	1663	319
839	1665	317
840	1667	315
841	1669	313
842	1671	311
843	1673	309
844	1675	307
845	1677	305
846	1679	303
847	1681	301
848	1683	299
849	1685	297
850	1687	295
851	1688	293
852	1690	291
853	1692	289
854	1694	287
855	1696	285
856	1698	283
857	1700	281
858	1702	279
859	1704	277
860	1706	275
861	1708	273
862	1710	271
863	1712	269
864	1714	267
865	1715	265
866	1717	263
867	1719	261
868	1721	259
869	1722	257
870	1724	255
871	1726	253
872	1728	251
873	1730	249
874	1732	247
875	1733	245
876	1735	243
877	1737	241
878	1739	239
879	1742	237
880	1743	235
881	1745	233
882	1747	231
883	1748	229
884	1750	227
885	1752	225
886	1754	223
887	1755	221
888	1758	219
889	1760	217
890	1762	215
891	1764	213
892	1765	211
893	1766	209
894	1768	207
895	1770	205
896	1772	203
897	1773	201
898	1775	199
899	1777	197
900	1779	195
901	1781	193
902	1782	191
903	1784	189
904	1787	187
905	1789	185
906	1791	183
907	1793	181
908	1794	179
909	1797	177
910	1799	175
911	1801	173
912	1803	171
913	1805	169
914	1807	167
915	1808	165
916	1810	163
917	1812	161
918	1814	159
919	1816	157
920	1818	155
921	1820	154
922	1822	152
923	1824	150
924	1826	148
925	1828	146
926	1830	144
927	1833	142
928	1835	140
929	1837	138
930	1839	136
931	1841	134
932	1843	132
933	1845	130
934	1847	128
935	1848	126
936	1850	124
937	1852	122
938	1854	120
939	1856	118
940	1859	116
941	1862	114
942	1864	112
943	1865	110
944	1867	108
945	1871	106
946	1873	104
947	1875	102
948	1878	100
949	1880	98
950	1882	96
951	1885	95
952	1887	93
953	1889	91
954	1891	89
955	1894	87
956	1896	85
957	1898	83
958	1902	81
959	1904	79
960	1906	77
961	1908	75
962	1911	73
963	1913	71
964	1915	69
965	1917	67
966	1919	65
967	1921	63
968	1923	61
969	1925	59
970	1927	57
971	1929	55
972	1932	53
973	1934	51
974	1936	49
975	1938	47
976	1940	45
977	1942	43
978	1944	41
979	1946	39
980	1949	37
981	1951	35
982	1953	33
983	1955	31
984	1958	29
985	1960	27
986	1963	25
987	1966	23
988	1968	21
989	1970	19
990	1973	17
991	1974	15
992	1976	13
993	1979	11
994	1980	9
995	1982	7
996	1984	5
997	1986	3
998	1988	1
999	1990	0
